Device_id,Move1,Intersection1,Move2,Intersection2,Move3,Intersection3,Move4,Intersection4,Move5,Intersection5
D1,"105,299",,"37,257",,"121,167",D8:Wifi,"181,106",,"269,37",D4:Wifi
D2,"594,274",D5:Wifi,"590,209","D5:Wifi,D5:GSM","613,120",,"573,153",D5:Wifi,"622,236",
D3,"546,668",,"495,604",,"432,556",,"428,494",,"454,432",
D4,"538,36",,"476,40",,"395,0",,"398,15",,"314,88",
D5,"595,209",,"544,179",,"584,218",,"497,169",,"496,84",
D6,"358,72",,"302,131",,"397,202",,"368,248",,"350,286",
D7,"490,513",,"432,491",,"366,407",,"389,404",,"320,390",
D8,"69,109",,"33,115",,"115,104",,"26,192",,"110,256",
D9,"253,436",,"253,436",,"253,436",,"253,436",,"253,436",
D10,"222,598",,"222,598",,"222,598",,"222,598",,"222,598",
D11,"350,280",,"350,280",,"350,280",,"350,280",,"350,280",
D12,"560,20",,"560,20",,"560,20",,"560,20",,"560,20",
