Device_id,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
D1,,,,GSTOR,,SIBOR,SIBOR,SIBOR,SIBOR,GUOR,,
D2,,,,,CLOR,SIBOR,SIBOR,GUOR,GUOR,GUOR,,
D3,,,,,,SIBOR,SIBOR,SIBOR,SIBOR,SIBOR,,
D4,,,,,,SIBOR,SIBOR,SIBOR,SIBOR,GUOR,,
D5,,,,,,SIBOR,SIBOR,GUOR,GUOR,GUOR,,
D6,SIBOR,SIBOR,SIBOR,SIBOR,SIBOR,,,,SIBOR,SIBOR,,
D7,SIBOR,SIBOR,SIBOR,SIBOR,SIBOR,,,,SIBOR,SIBOR,,
D8,SIBOR,GUOR,SIBOR,SIBOR,GUOR,,,,SIBOR,SIBOR,,
D9,SIBOR,GUOR,SIBOR,SIBOR,GUOR,SIBOR,SIBOR,SIBOR,,,,
D10,GUOR,GUOR,SIBOR,GUOR,GUOR,SIBOR,SIBOR,SIBOR,,,,
D11,,,,,,,,,,,,
D12,,,,,,,,,,,,
